Subgroup1,Subgroup2,Counts,UnderSuppress,OverSuppressed
STEM,Certificate,10,0,1
STEM,Associate,9,1,1
STEM,Bachelor,20,0,0
STEM,Masters,100,1,0
STEM,Doctorate,40,0,0
Business,Certificate,15,0,1
Business,Associate,40,0,0
Business,Bachelor,15,0,1
Business,Masters,90,0,0
Business,Doctorate,11,0,1
Education,Certificate,50,0,0
Education,Associate,30,1,0
Education,Bachelor,12,0,1
Education,Masters,6,1,1
Education,Doctorate,44,0,0
Health,Certificate,100,0,0
Health,Associate,20,0,1
Health,Bachelor,100,0,0
Health,Masters,30,0,1
Health,Doctorate,70,0,0
Social and Behavioral,Certificate,25,0,0
Social and Behavioral,Associate,11,0,1
Social and Behavioral,Bachelor,60,0,0
Social and Behavioral,Masters,50,0,0
Social and Behavioral,Doctorate,10,0,1
